longitude,latitude,label,red_mean,red_std,red_min,red_max,red_p10,red_p90,red_amp,nir_mean,nir_std,nir_min,nir_max,nir_p10,nir_p90,nir_amp,ndvi_mean,ndvi_std,ndvi_min,ndvi_max,ndvi_p10,ndvi_p90,ndvi_amp
-59.90945933009222,-6.052427720347552,Disturbio,0.06541473890571954,0.011517763552733023,0.05149999999999999,0.10040000000000002,0.05400000500982749,0.08105000377024865,0.04890000000000003,0.2140851286673691,0.0786641549611205,0.0865,0.29580000000000006,0.09909998513918236,0.29099998766811697,0.20930000000000007,0.47126476264213335,0.21867491273590092,0.1374095989480605,0.6940896940896941,0.17885036328605328,0.6882000837443718,0.5566800951416336
-59.95545245480221,-6.097411956225043,Disturbio,0.03529757968811246,0.020042733435074157,0.018299999999999997,0.09029999999999999,0.019199999250926525,0.0708839775748888,0.072,0.29700604606391706,0.03903978343844832,0.19500000000000003,0.37940000000000007,0.2652000495693493,0.3461749761731657,0.18440000000000004,0.7966509255826051,0.08759385872297601,0.5050391937290033,0.8722067039106146,0.6460481649766953,0.8675193311303868,0.3671675101816113
-59.93630902993421,-6.079299773615882,Disturbio,0.05863367799769634,0.022574108284707704,0.028600000000000014,0.0958,0.03854000028958336,0.09099428868130889,0.06719999999999998,0.2241662464169451,0.05689619724913692,0.1423,0.3184,0.154642860760667,0.28230993315169367,0.1761,0.5605075054505277,0.21984123174260775,0.24655918206842317,0.8351585014409221,0.25733456735743643,0.7390283660579161,0.5885993193724989
-59.90595749846469,-6.044969238201215,Disturbio,0.06789939234062191,0.010295968059857543,0.0504,0.08660000000000001,0.056640018300330254,0.08339999607642935,0.03620000000000001,0.1964167903302848,0.07911874022267809,0.0832,0.30410000000000004,0.10350022387390105,0.27839997911375447,0.22090000000000004,0.4297470460139691,0.2136197208250138,0.1258457374830853,0.6652644230769231,0.17851763702297216,0.6496247067382757,0.5394186855938379
-59.91109714656644,-6.123146971741829,Disturbio,0.03849919315114436,0.026542482031615737,0.0204,0.1448,0.022120035471726317,0.06859991920203898,0.12440000000000001,0.32525089821793807,0.0427407398393528,0.27659999999999996,0.40880000000000005,0.2814163665467948,0.3951,0.1322000000000001,0.8041604908812034,0.09108464707688273,0.44017011405374057,0.8746099290780142,0.6859085848955283,0.8558519682595619,0.4344398150242736
-59.93366306965367,-6.130432725814233,Disturbio,0.02799730203770158,0.00834395691207298,0.019199999999999995,0.04530000000000001,0.020200000383148682,0.04131000151156457,0.026100000000000012,0.3128599014500498,0.022616742913330136,0.26560000000000006,0.3496,0.2781999870281246,0.335933969488953,0.08399999999999996,0.8378156615552723,0.0361425105354474,0.7550027041644132,0.8794029850746269,0.7794144518692935,0.875203099590003,0.12440028091021371
-59.98243017022457,-6.088583537388296,Disturbio,0.02879118486265357,0.01744668386848095,0.012899999999999995,0.0874,0.013599998985972889,0.04734000000000001,0.07450000000000001,0.3160187478523486,0.05746016793239836,0.2421,0.4145000000000001,0.2456000142937233,0.3865299930556752,0.17240000000000008,0.8414535742799755,0.06924414497076341,0.6294254822980707,0.900578034682081,0.7580242122326252,0.8949881375146218,0.27115255238401026
-59.92215118361216,-6.048163343369044,Disturbio,0.07267650625894784,0.01976883022925155,0.04680000000000001,0.1116,0.049740006577674065,0.10025713548753015,0.0648,0.22852435405724453,0.06286471956497419,0.11599999999999999,0.30390000000000006,0.14515713901147556,0.29180000637389153,0.18790000000000007,0.4869811644574329,0.2115359976694949,0.1513647642679901,0.7296528173022198,0.20145001832862364,0.7054101553188507,0.5782880530342297
-59.95267228322101,-6.065718936085845,Disturbio,0.06484030753725827,0.024172779761468838,0.04100000000000001,0.10320000000000001,0.04411999752562347,0.10268571427311224,0.062200000000000005,0.2541123253590951,0.07072821956493872,0.1368,0.3349,0.1526800355675582,0.3156999978825004,0.19809999999999997,0.5612112553158942,0.22754187605176923,0.24363636363636368,0.760653823701109,0.2484916837642394,0.7535158813870814,0.5170174600647454
-59.92625720911218,-6.097597276498708,Disturbio,0.07910901053773253,0.01781544871403967,0.024499999999999994,0.15120000000000003,0.06279999562917128,0.08482858094596966,0.12670000000000003,0.18853348230881958,0.06387643994556723,0.09210000000000002,0.2934,0.09789998322830591,0.24460001329531145,0.20129999999999998,0.3678116164383021,0.1666677777975036,0.12251308900523561,0.8458634790814723,0.17006125139393696,0.5216173965502727,0.7233503900762367
